Temperaturmålinger fra Åbjøra.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Tid,Ug,Pg,Qg,If,Spor-temp,Blikk-temp,W-luft temp,K-luft temp,K vann inn,K vann ut,It,Ug[pu],Pg[pu],Qg[pu],If[pu],It[pu]
,3/13/2017 5:11,10.550977,61.463003,4.580467,726.71875,36.448242,34.40918,22.174805,14.018555,3.823242,5.862305,3372.586773,0.959179727,0.596728184,0.044470553,0.682365023,0.623859928
,3/13/2017 5:12,10.550977,61.314976,4.580467,724.804688,36.448242,34.40918,22.174805,14.018555,3.823242,5.862305,3364.509177,0.959179727,0.595291029,0.044470553,0.680567782,0.622365738
,3/13/2017 5:13,10.550977,60.966784,4.580467,724.804688,38.385352,34.40918,22.174805,14.018555,3.823242,5.862305,3345.509329,0.959179727,0.591910524,0.044470553,0.680567782,0.618851152
,3/13/2017 5:14,10.550977,60.177305,4.580467,722.753906,38.487305,34.40918,22.174805,14.018555,3.823242,5.862305,3302.431974,0.959179727,0.58424568,0.044470553,0.678642165,0.610882718
,3/13/2017 5:15,10.550977,59.631745,4.580467,718.945312,38.487305,34.40918,22.174805,14.018555,3.823242,5.862305,3272.665779,0.959179727,0.578948981,0.044470553,0.675066021,0.605376578
,3/13/2017 5:16,10.550977,59.121563,4.50785,717.548828,38.487305,34.40918,22.174805,14.018555,3.823242,5.862305,3244.526762,0.959179727,0.573995757,0.043765534,0.673754768,0.600171432
,3/13/2017 5:17,10.550977,58.759408,4.245312,712.939453,39.642773,35.49668,22.174805,14.018555,3.823242,5.862305,3223.700247,0.959179727,0.570479689,0.041216621,0.669426716,0.596318951
,3/13/2017 5:18,10.550977,58.907436,4.245312,715.429688,40.526367,36.448242,22.174805,14.018555,3.823242,5.862305,3231.779345,0.959179727,0.571916854,0.041216621,0.671764965,0.597813419
,3/13/2017 5:19,10.550977,58.918607,4.245312,715.429688,40.526367,36.448242,22.174805,14.018555,3.823242,5.862305,3232.389042,0.959179727,0.572025311,0.041216621,0.671764965,0.597926201
,3/13/2017 5:20,10.550977,59.305899,4.245312,715.429688,40.526367,36.448242,22.174805,14.018555,3.823242,5.862305,3253.527246,0.959179727,0.575785427,0.041216621,0.671764965,0.601836338
,3/13/2017 5:21,10.550977,59.679227,4.515299,715.429688,40.526367,36.448242,22.174805,14.018555,3.823242,5.862305,3274.985409,0.959179727,0.579409971,0.043837854,0.671764965,0.605805662
,3/13/2017 5:22,10.550977,60.251785,4.524609,721.640625,40.526367,36.448242,22.174805,14.018555,3.823242,5.862305,3306.265492,0.959179727,0.584968786,0.043928243,0.677596831,0.611591841
,3/13/2017 5:23,10.550977,60.365365,4.524609,722.460938,40.526367,36.448242,22.174805,14.018555,3.823242,5.862305,3312.463181,0.959179727,0.586071505,0.043928243,0.678367078,0.612738287
,3/13/2017 5:24,10.550977,60.551563,4.781561,722.460938,42.123633,37.535742,22.174805,14.018555,3.823242,5.862305,3323.700832,0.959179727,0.587879252,0.046422922,0.678367078,0.614817024
,3/13/2017 5:25,10.550977,60.724727,4.859764,724.863281,42.56543,38.487305,22.174805,14.018555,3.823242,5.862305,3333.485703,0.959179727,0.589560456,0.047182175,0.680622799,0.616627026
,3/13/2017 5:26,10.550977,60.83086,4.859764,725.976562,42.56543,38.487305,22.174805,14.018555,3.823242,5.862305,3339.274832,0.959179727,0.590590874,0.047182175,0.681668133,0.617697897
,3/13/2017 5:27,10.550977,60.83086,4.859764,725.976562,42.56543,38.487305,22.174805,14.018555,3.823242,5.862305,3339.274832,0.959179727,0.590590874,0.047182175,0.681668133,0.617697897
,3/13/2017 5:28,10.550977,60.83086,5.139061,725.976562,42.56543,38.487305,22.174805,14.018555,3.823242,5.862305,3340.526661,0.959179727,0.590590874,0.049893796,0.681668133,0.61792946
,3/13/2017 5:29,10.550977,60.83086,5.418358,727.851562,42.56543,38.487305,22.174805,14.018555,3.823242,5.862305,3341.847916,0.959179727,0.590590874,0.052605417,0.683428697,0.618173865
,3/13/2017 5:30,10.550977,60.714487,5.261952,728.515625,42.56543,38.487305,22.174805,14.018555,3.823242,5.862305,3334.755263,0.959179727,0.589461039,0.051086913,0.68405223,0.616861869
,3/13/2017 5:31,10.550977,60.77407,5.050619,725.048828,42.56543,38.487305,22.174805,14.018555,3.823242,5.862305,3337.025855,0.959179727,0.590039515,0.049035136,0.680797022,0.617281882
,3/13/2017 5:32,10.550977,60.758244,5.250782,727.148438,42.56543,38.487305,22.174805,14.018555,3.823242,5.862305,3337.088032,0.959179727,0.589885864,0.050978466,0.682768486,0.617293384
,3/13/2017 5:33,10.550977,60.582286,5.250782,727.148438,43.89082,39.031055,22.174805,14.018555,3.823242,5.862305,3327.495455,0.959179727,0.588177534,0.050978466,0.682768486,0.615518952
,3/13/2017 5:34,10.550977,60.720073,5.283367,727.441406,44.604492,40.526367,22.174805,14.018555,3.823242,5.862305,3335.161163,0.959179727,0.589515272,0.051294825,0.683043574,0.616936952
,3/13/2017 5:35,10.550977,60.551563,5.630624,730.664062,44.604492,40.526367,22.174805,14.018555,3.823242,5.862305,3327.680651,0.959179727,0.587879252,0.054666252,0.686069542,0.61555321
,3/13/2017 5:36,10.550977,60.551563,5.306641,730.664062,44.604492,40.526367,22.174805,14.018555,3.823242,5.862305,3326.086032,0.959179727,0.587879252,0.051520786,0.686069542,0.615258238
,3/13/2017 5:37,10.550977,60.668868,5.576628,730.664062,44.604492,40.526367,22.174805,14.018555,3.823242,5.862305,3333.800321,0.959179727,0.589018136,0.054142019,0.686069542,0.616685224
,3/13/2017 5:38,10.550977,60.639077,5.585938,730.664062,44.604492,40.526367,24.009961,14.018555,3.823242,5.862305,3332.223694,0.959179727,0.588728903,0.054232408,0.686069542,0.61639358
,3/13/2017 5:39,10.550977,60.636283,5.585938,730.664062,44.604492,40.526367,24.213867,14.018555,3.823242,5.862305,3332.071451,0.959179727,0.588701777,0.054232408,0.686069542,0.616365418
,3/13/2017 5:40,10.550977,60.658626,5.837304,730.664062,44.604492,40.526367,24.213867,14.018555,3.823242,5.862305,3334.578352,0.959179727,0.588918699,0.056672854,0.686069542,0.616829144
